reporting_jurisdiction,partner_jurisdiction,year,total_revenues,related_party_revenues,unrelated_party_revenues,profit_before_tax,income_tax_paid,income_tax_accrued,stated_capital,accumulated_earnings,tangible_assets,num_employees,num_mne_groups,num_subgroups,num_entities,research_development,holding_equity,ip_management,purchasing,manufacturing,sales_marketing,admin_support,regulated_finance,internal_group_finance,insurance,services_unrelated,dormant,other_activity,profit_positive_panel,profit_negative_panel
USA,AUS,2017,16294088.758663412,8513652.727429958,7780436.031233453,-1048649.4583294254,0.0,0.0,14139708.48512931,-5803923.586718698,25175241.91432895,239.39436603212314,10.0,10.0,21.0,11.0,3.0,4.0,13.0,22.0,15.0,9.0,7.0,7.0,5.0,17.0,5.0,8.0,187411.00477414273,-1033431.3432956586
USA,AUS,2018,83924891.74161486,49816052.58845062,34108839.153164245,-2700046.797487076,0.0,0.0,17197874.318985466,-9745774.453018557,52827934.91381012,459.3394462359595,10.0,10.0,13.0,13.0,10.0,11.0,26.0,23.0,21.0,8.0,12.0,6.0,13.0,9.0,8.0,12.0,868744.6379315075,-2417930.0635183845
USA,AUS,2019,6539649.911677689,1639590.7571593302,4900059.154518358,630848.3369825453,166003.56628810285,201378.2906256771,360855.55983176176,3311441.385232209,1227683.7650715087,84.61984951672767,3.0,3.0,5.0,3.0,0.0,2.0,1.0,4.0,5.0,3.0,1.0,0.0,1.0,3.0,2.0,2.0,595663.4297887853,-253754.07945306067
USA,AUS,2020,5496351.303828472,899397.38659184,4596953.917236633,438450.2839813816,141150.69914675673,179213.56985894617,1363739.7027606552,2021759.543793303,3761556.831718612,35.47396661322249,4.0,4.0,6.0,2.0,0.0,2.0,5.0,6.0,5.0,4.0,5.0,3.0,0.0,3.0,1.0,1.0,503909.14641640236,-158752.9568122636
USA,AUS,2021,55565685.110072255,9001109.401140558,46564575.70893169,11997592.977727938,1852941.620538887,2400726.4768544263,2126561.315811659,34552752.92673175,6393630.326302226,407.05359041361004,3.0,3.0,4.0,2.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,11588964.58550118,-1268572.6501624854
USA,AUT,2016,159969904.33789057,31366941.664713778,128602962.6731768,12783654.811214864,2254516.829736481,2255409.6129238307,1147887.7061435007,30351791.12465345,6344210.541334965,762.468337168746,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,13544409.617568044,-6207206.235691273
USA,AUT,2017,65646173.88999821,43484355.620176114,22161818.2698221,2024105.2813052558,628130.3678818932,746668.9971230333,293042.78489774937,4743581.483066034,1123664.556820651,520.3568125876814,6.0,6.0,9.0,1.0,7.0,3.0,5.0,9.0,10.0,8.0,9.0,3.0,7.0,6.0,7.0,10.0,1937676.0946099611,-777357.0152941139
USA,AUT,2018,2877515.0726801953,1848616.3162492013,1028898.756430994,112251.73977231236,23827.24346559735,33218.651995658925,2896301.1031926633,501893.664210554,6392905.0535413455,15.384793636908707,1.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,108197.25526953547,-14803.122959724797
USA,AUT,2019,1400304982.9735913,942044929.1277225,458260053.8458689,-135976747.56736714,0.0,0.0,5508093.76016598,-630559095.0775869,35093765.280076616,5066.127879935963,4.0,4.0,10.0,9.0,2.0,0.0,6.0,12.0,8.0,8.0,2.0,1.0,2.0,7.0,0.0,5.0,25971734.168809734,-118192290.0841391
USA,AUT,2020,117262930.77596137,32356017.35978918,84906913.41617218,-23452586.155192275,0.0,0.0,3209080.8950808076,-113581956.85397862,7360407.7973677395,3639.9481776377365,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,5.0,3.0,4.0,0.0,1.0,0.0,3.0,7607326.643515153,-22090477.95479466
USA,AUT,2021,26693575.05341471,8699003.01865466,17994572.03476005,534145.206402651,130053.6353089594,155206.6139596511,3011768.5205878667,1307850.6139872114,9421344.269034084,182.03732710434412,3.0,3.0,6.0,2.0,0.0,1.0,5.0,8.0,3.0,2.0,0.0,1.0,1.0,4.0,3.0,4.0,449805.30078481266,-186463.72770473475
USA,BEL,2016,56644229.32618371,28627248.85162213,28016980.474561576,9702939.249486107,1015373.7235452427,1215022.90896458,813326.1238740825,56909558.475193694,2367823.396922294,456.5041038355626,3.0,3.0,6.0,3.0,2.0,2.0,1.0,7.0,3.0,0.0,3.0,2.0,1.0,2.0,0.0,2.0,11189921.993981946,-1761589.988550853
USA,BEL,2017,5015187.4335784735,689791.8631317692,4325395.5704467045,-1003037.4867156948,0.0,0.0,1633268.7700530484,-3775601.1275352794,9749379.779069908,376.0324290573983,15.0,15.0,18.0,21.0,8.0,12.0,20.0,40.0,23.0,23.0,11.0,15.0,17.0,15.0,4.0,14.0,286878.2127573602,-1118100.6158559008
USA,BEL,2018,52817016.223232046,18404586.593513113,34412429.62971894,6715352.9587508235,1636033.4140230846,2004159.334776842,225675.99132554868,39878650.156161405,595766.6605221491,660.7322747388366,16.0,16.0,19.0,5.0,3.0,5.0,15.0,22.0,26.0,16.0,2.0,6.0,10.0,20.0,6.0,3.0,7565132.720088355,-2502648.4274682715
USA,BEL,2019,45233849.004731044,11895164.54874462,33338684.455986425,19431973.905174777,4664074.001963319,5182857.161674948,3833838.518230768,93838338.45670973,6615351.060669814,266.45153111569954,4.0,4.0,5.0,5.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,6.0,1.0,4.0,21072571.57664511,-5378184.191903296
USA,BEL,2020,25825504.970007673,12883527.650610449,12941977.319397226,2425051.870380337,274056.41304592637,309389.9273692704,11287551.699650306,12805289.921742657,38457317.169187106,127.9169448622046,9.0,9.0,10.0,5.0,5.0,2.0,5.0,18.0,8.0,3.0,1.0,1.0,5.0,11.0,1.0,4.0,2000000.3810278056,-1018418.1709913457
USA,BEL,2021,3273782.21659261,1229573.7422310365,2044208.4743615733,-59471.616844189535,0.0,0.0,975817.1217885459,-168945.20157529297,3924227.581772484,26.700184798072417,7.0,7.0,10.0,3.0,1.0,1.0,7.0,10.0,9.0,7.0,3.0,1.0,4.0,6.0,0.0,5.0,8678.699750962915,-55457.92008639972
USA,BHR,2016,204674578.83335623,183069611.83966818,21604966.993688058,95946537.75841925,13517053.82461308,16086415.30997035,10946938.892714238,389519809.2736062,26117400.31862,374.9363021860931,2.0,2.0,3.0,1.0,10.0,5.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,80149525.0307196,-15534768.342609309
USA,BHR,2017,231614032.27111882,186214242.4618313,45399789.8092875,14638438.616875773,1755495.3251662983,2250164.6177332248,290038.3977715644,73661857.61772536,2084664.932762137,541.3647902742385,2.0,2.0,3.0,1.0,6.0,3.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,5.0,1.0,14233743.742175652,-3302671.5738911177
USA,BHR,2018,56376213.74494131,40245564.90660995,16130648.838331355,10257447.7891287,582770.4017835221,800867.9789284664,158560880.87301153,40041483.38104428,384687391.5252236,337.3458683837995,2.0,2.0,3.0,1.0,4.0,5.0,2.0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,9726638.247930788,-1453072.1779826349
USA,BHR,2019,554164448.1832936,467047735.85787547,87116712.32541813,137181406.62022343,19281411.83678846,26796859.14268141,393489.32764510723,815895855.3472244,3288403.326615663,1418.259627839061,19.0,19.0,21.0,5.0,27.0,23.0,3.0,7.0,7.0,11.0,18.0,26.0,5.0,2.0,14.0,5.0,133089155.20364535,-66061335.08614121
USA,BHR,2020,51936013.421889804,32689984.43756982,19246028.984319985,17339259.716571108,314744.11869006936,358161.91199847526,59669.589301308566,69216074.7615029,411005.7869018968,619.1501878861628,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,15398171.76199728,-4508880.578518644
USA,BHR,2021,13672764.525453642,10035179.416746084,3637585.108707559,11870556.462044112,0.0,0.0,2430091.1031653224,64189694.84344743,8723830.820978358,41.323870031410316,19.0,19.0,21.0,3.0,20.0,22.0,5.0,1.0,7.0,11.0,16.0,29.0,10.0,9.0,13.0,7.0,9634483.664608676,-2765473.62308162
USA,BHS,2016,24444725.537989873,19755266.446710117,4689459.091279758,2505475.5715886806,172014.54790631114,177054.29798493648,400847.0711694485,6022674.198233376,2120131.587182061,153.73200495275427,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,2.0,0.0,2957508.317117062,-1025228.9005352798
USA,BHS,2017,50892390.93162264,34161845.17570431,16730545.755918335,16597456.854477178,688411.2867549236,828654.5203436378,297133.03945017117,66592037.874766864,2696692.811656348,196.44688644410255,5.0,5.0,6.0,3.0,5.0,7.0,0.0,1.0,1.0,3.0,2.0,14.0,4.0,0.0,2.0,3.0,16724532.190187335,-1707311.6509038648
USA,BHS,2018,33185852.140809197,4044427.04324556,29141425.097563636,15030855.653129362,1940424.2840193647,2097587.27644759,1429968.099235614,51507303.24278362,3180283.591777192,305.5825278727919,1.0,1.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,16732425.684223222,-6352870.125212186
USA,BHS,2019,978435.7787359749,505520.1126716161,472915.66606435884,175381.26945647632,8913.048166225688,11929.870857594644,612698.1821716853,372145.66105882666,4527593.288833896,22.346126219372252,4.0,4.0,5.0,2.0,14.0,3.0,1.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,0.0,179135.42373525258,-35938.42895119174
USA,BHS,2020,15303496.380858906,6649275.696260637,8654220.684598269,10837997.280590912,682238.8868457768,832558.3996416387,5062821.908857232,24230091.71120794,12370367.8404023,156.5544018963019,3.0,3.0,5.0,0.0,5.0,4.0,0.0,0.0,2.0,0.0,6.0,4.0,4.0,1.0,6.0,0.0,10543056.604820132,-1927024.2833333889
USA,BHS,2021,513306467.24898815,429659191.2032761,83647276.04571204,142345170.51248926,9041770.182359692,10747419.76098905,553464.7137873254,805831500.5725205,1062292.3937485479,1102.5266378399676,2.0,2.0,4.0,0.0,5.0,4.0,0.0,2.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0,124142721.82020621,-46421218.68595775
USA,BLZ,2016,1221399511.8266563,420859608.277474,800539903.5491824,555797964.3861239,0.0,0.0,294105.78763637703,1636914158.483128,571780.0244110595,12467.940746243614,2.0,2.0,3.0,0.0,1.0,3.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,0.0,481439200.1491016,-192493603.72665393
USA,BLZ,2017,3724723.245598511,2938232.993894551,786490.2517039597,2680802.6679873317,405594.4181409735,480093.3674389055,1721799.609345894,13837373.330348253,4119535.6562480354,14.263040741410832,9.0,9.0,11.0,2.0,17.0,9.0,4.0,1.0,3.0,4.0,7.0,8.0,4.0,6.0,10.0,1.0,2176417.029983068,-1327925.7456226407
USA,BLZ,2018,7402344.4458407285,5073831.307460431,2328513.1383802975,2474248.681519517,465222.1279809517,604063.8073969107,102617.27041932319,12114982.886731159,211636.5098439175,39.766981394654096,1.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2820503.5022067106,-1216261.5076336605
USA,BLZ,2019,46264342.142442495,18375713.021408934,27888629.12103356,19619780.742411673,1325966.5464051613,1556478.066028607,1964241.3821911584,65252556.238846414,10288956.9667748,405.89601594499135,4.0,4.0,6.0,1.0,11.0,5.0,1.0,3.0,2.0,1.0,3.0,5.0,1.0,1.0,8.0,0.0,18966302.773806214,-8662975.383263044
USA,BLZ,2020,20760807.07226005,9183213.638790473,11577593.433469575,8962956.214247512,1303257.9783152728,1759344.6810039121,462019.59914717026,23573207.122263324,1950682.7171800944,292.2628177166396,2.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,1.0,6.0,1.0,1.0,4.0,0.0,8234944.533547678,-796818.7816958469
USA,BLZ,2021,97090471.32244658,65563184.16932841,31527287.15311818,72419877.56441773,10282344.196656045,10893608.321075961,3007039.8502037884,302155049.34768826,9298258.640105251,334.31811052733866,2.0,2.0,4.0,0.0,4.0,5.0,3.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,5.0,2.0,84643319.73223671,-20154147.09765135
USA,BMU,2016,11821033.861838475,1995337.0173348729,9825696.844503602,-1706368.0924868693,0.0,0.0,754901.1806002777,-5568435.260004642,1306755.7544658845,90.50227921033682,4.0,4.0,6.0,3.0,9.0,11.0,4.0,4.0,6.0,8.0,1.0,7.0,2.0,4.0,7.0,1.0,313311.45699446474,-1710052.2466926307
USA,BMU,2017,9736001.569667472,3411391.28961616,6324610.2800513115,4295123.290199422,0.0,0.0,5999660.7806684645,18115448.68253168,16681620.413050782,220.9894722348082,3.0,3.0,4.0,0.0,5.0,5.0,1.0,0.0,1.0,2.0,4.0,5.0,1.0,0.0,6.0,2.0,3712614.243168551,-747750.6153656424
USA,BMU,2018,106800925.09735645,59711876.64560569,47089048.45175076,26158707.71981954,2322360.319754298,2465171.804886787,207150.10580258566,128110711.45921347,734839.3565614898,240.17451240650797,6.0,6.0,11.0,2.0,6.0,14.0,5.0,2.0,3.0,3.0,2.0,11.0,3.0,4.0,11.0,0.0,29872670.070387486,-9592304.302514533
USA,BMU,2019,16876589.709531564,12442438.843161952,4434150.866369613,8813762.712623715,704453.5526080175,941131.3752535399,1493344.0121530357,39821164.1613048,2767723.83930846,42.210343435603214,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,9930713.471567007,-1530144.0331689522
USA,BMU,2020,11988655.504876891,8520593.470804565,3468062.034072326,3531013.012921119,784790.8345962999,871509.0104267041,5412471.219098002,11219059.04241605,15394331.466451393,102.64218346297802,4.0,4.0,6.0,1.0,7.0,6.0,2.0,1.0,2.0,5.0,0.0,8.0,2.0,3.0,6.0,1.0,4119555.3101769397,-1728293.1446237976
USA,BMU,2021,303687457.74420184,244435314.44996837,59252143.294233456,20673246.132324763,3139001.963697912,4305989.2323181955,172282.23314833638,110390537.66298433,648679.5526071227,362.365547349859,5.0,5.0,9.0,3.0,13.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,3.0,2.0,1.0,20925254.021923684,-9359048.24946487
USA,BRA,2016,1163422.0561033166,463820.72624557244,699601.3298577442,144607.49724250552,35173.38860941821,37595.53908550416,6219298.821288398,554816.762704395,33596919.60021217,15.567180401773976,7.0,7.0,10.0,1.0,0.0,1.0,6.0,10.0,8.0,3.0,2.0,0.0,1.0,9.0,1.0,4.0,127338.8495018714,-13928.965945049129
